perf,index,date,year,month,day,rating
Bullet,0,2025-07-07,2025,7,7,1849
Bullet,1,2025-07-10,2025,7,10,1893
Bullet,2,2025-07-12,2025,7,12,1908
Bullet,3,2025-07-15,2025,7,15,1911
Bullet,4,2025-07-17,2025,7,17,1911
Bullet,5,2025-07-18,2025,7,18,1899
Bullet,6,2025-07-19,2025,7,19,1907
Bullet,7,2025-07-20,2025,7,20,1870
Bullet,8,2025-07-22,2025,7,22,1847
Bullet,9,2025-07-25,2025,7,25,1853
Bullet,10,2025-08-21,2025,8,21,1821
Bullet,11,2025-08-22,2025,8,22,1834
Bullet,12,2025-10-12,2025,10,12,1799
Bullet,13,2025-10-24,2025,10,24,1871
Bullet,14,2025-10-25,2025,10,25,1877
Bullet,15,2025-10-26,2025,10,26,1890
Bullet,16,2025-10-27,2025,10,27,1895
Bullet,17,2025-10-28,2025,10,28,1907
Bullet,18,2025-10-30,2025,10,30,1947
Bullet,19,2025-10-31,2025,10,31,1927
Bullet,20,2025-11-01,2025,11,1,1927
Bullet,21,2025-11-02,2025,11,2,1913
Bullet,22,2025-11-03,2025,11,3,1920
Bullet,23,2025-11-04,2025,11,4,1928
Bullet,24,2025-11-05,2025,11,5,1910
Bullet,25,2025-11-06,2025,11,6,1906
Bullet,26,2025-11-07,2025,11,7,1895
Bullet,27,2025-11-08,2025,11,8,1900
Bullet,28,2025-11-09,2025,11,9,1918
Bullet,29,2025-11-10,2025,11,10,1899
Bullet,30,2025-11-11,2025,11,11,1864
Bullet,31,2025-11-12,2025,11,12,1857
Bullet,32,2025-11-13,2025,11,13,1835
Bullet,33,2025-11-14,2025,11,14,1838
Bullet,34,2025-11-15,2025,11,15,1811
Bullet,35,2025-11-16,2025,11,16,1907
Blitz,0,2025-10-12,2025,10,12,1450
Blitz,1,2025-10-23,2025,10,23,1326
Blitz,2,2025-10-30,2025,10,30,1380
Crazyhouse,0,2025-11-10,2025,11,10,1701
Crazyhouse,1,2025-11-12,2025,11,12,1705
Crazyhouse,2,2025-11-13,2025,11,13,1633
Chess960,0,2025-11-13,2025,11,13,1237
Three-check,0,2025-11-13,2025,11,13,1395
Antichess,0,2025-11-10,2025,11,10,1220
Atomic,0,2025-11-11,2025,11,11,1261
Atomic,1,2025-11-13,2025,11,13,1192
Horde,0,2025-11-11,2025,11,11,1491
Horde,1,2025-11-13,2025,11,13,1601
Racing Kings,0,2025-11-10,2025,11,10,1434
